wavelength,Cycle_1_0,Cycle_2_0,Cycle_3_0,Cycle_4_0,Cycle_5_0,Cycle_6_0,,Peak Spectroscopy,,,
324.2501,14549.2802,2193.0293,3895.622,6272.483,6659.6213,5880.7463,,,,,
324.2511,12014.8234,2041.1681,3361.3325,6519.7887,6873.3734,6429.4655,,,,,
324.2521,14315.6857,2247.7757,3590.0313,5951.4443,6324.5516,5268.3904,,,,,
324.2531,14553.7893,2145.1039,3517.2499,5739.6312,6486.0653,5189.1106,,,,,
324.2541,13976.7119,2009.2711,3330.2797,5403.4965,7218.3913,5546.7599,,,,,
324.2551,14525.521,1759.4366,3225.2659,5003.099,7332.5365,4975.24,,,,,
324.2561,14811.3172,2128.5062,3390.9185,5512.784,6981.8206,4589.666,,,,,
324.2571,14544.7761,1971.7911,3448.7044,4661.9334,7310.0918,4369.8369,,,,,
324.2581,14808.466,1891.0155,3186.9805,4673.63,7308.5197,4344.9038,,,,,
324.2591,15020.6479,2025.0178,2701.5893,5538.4483,8004.0437,4471.656,,,,,
324.2601,13785.7594,1922.2346,2947.7238,3953.25,8239.7698,3992.2137,,,,,
324.2611,14322.8034,2097.4139,2571.6561,4258.6347,9144.9499,3956.4123,,,,,
324.2621,16017.6063,1763.3351,2852.9072,4081.9127,8252.4751,4143.6425,,,,,
324.2631,15550.9914,1978.7766,2654.9553,4578.9808,10485.6279,3586.5353,,,,,
324.2641,14180.7345,1734.788,2536.1014,3610.4503,10239.1489,3579.6217,,,,,
324.2651,15248.936,1839.7411,2575.0915,3837.4481,11127.2631,3804.2181,,,,,
324.2661,15058.3406,1763.3478,2773.608,3506.2245,11563.0284,3730.8852,,,,,
324.2671,15702.1267,1656.4744,2426.3782,3551.4672,13051.6024,3754.9124,,,,,
324.2681,15395.4788,1752.8292,2517.1151,3822.8939,13101.0787,3516.8867,,,,,
324.2691,15666.2632,1573.7475,2404.5602,3424.5719,12897.6318,3316.9763,,,,,
324.2701,15552.8255,1331.6077,2686.0367,3320.6666,13104.2004,3282.2892,,,,,
324.2711,13560.754,1657.6905,2407.6176,3994.3961,14378.6387,3158.4588,,,,,
324.2721,15334.9382,1472.9115,2409.2427,3412.0351,16422.0525,3249.7099,,,,,
324.2731,16619.9317,1824.2038,2452.0658,3183.4658,18109.6662,2980.6487,,,,,
324.2741,14499.1982,1717.6748,2509.0859,3565.9807,17364.8496,3123.9735,,,,,
324.2751,15495.3486,1800.8026,2504.2712,3646.5554,15668.2956,3439.5933,,,,,
324.2761,15337.9894,1939.8987,2036.847,3739.7943,16571.742,3449.314,,,,,
324.2771,15979.8652,1755.156,2272.9024,3765.832,18265.2657,3294.1676,,,,,
324.2781,15587.3804,1931.1367,2148.9364,3254.0208,20283.5992,3059.7851,,,,,
324.2791,15653.0748,1710.7452,1815.4733,3544.2118,20347.652,3541.4942,,,,,
324.2801,15472.5115,1921.7005,2295.8047,3021.3235,20222.1116,3644.3865,,,,,
324.2811,16569.512,1533.4663,2011.3374,3265.0094,21263.0289,3857.1168,,,,,
324.2821,18098.0843,1641.5964,1735.0611,3921.0028,20710.9375,3419.2861,,,,,
324.2831,16539.1078,1837.7886,1815.2749,3595.1028,21737.9292,3808.6568,,,,,
324.2841,16071.8859,1752.3422,1950.7418,3865.2516,20299.7025,3986.5906,,,,,
324.2851,16819.3268,1893.6077,1930.3053,3236.3519,20341.941,3943.1724,,,,,
324.2861,16066.9239,1885.9668,1982.4911,3374.6308,21753.7364,3724.7439,,,,,
324.2871,17199.5155,1990.1259,1769.4201,3689.0168,21353.5308,4220.5288,,,,,
